,UNITID,INSTNM_x,Percent of students over 23 at entry,WHITE,BLACK,ASIAN,HISPANIC,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,numberOfStudentsNotWorkingAndNotEnrolled10YearsAfterEntry,numberOfStudentsWorkingAndNotEnrolled10YearsAfterEntry,meanEarningsOfStudentsWorkingAndNotEnrolled10yearsAfterEntry,logOfMeanEarnings,Standard deviation of earnings of students working and not enrolled 10 years after entry,INSTNM_y,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
1442,159568,Louisiana College,0.109999999,72.61000061,23.18000031,1.149999976,2.900000095,96.69000244,46322.14,14.39999962,3.819999933,10.71000004,53,344,45600,45.6,32300,Louisiana College,Pineville,LA,71359,31.322286,-92.425567,0.6944,0.694444444,969,0,0,0,0,0.02,0,0,0,0.09,0,0,0.005,0,0,0.01,0.01,0,0.065,0.005,0,0.035,0.075,0.06,0.07,0.01,0,0.03,0.02,0.025,0.005,0,0,0,0,0.065,0.265,0.105,0.03
1444,159647,Louisiana Tech University,0.159999996,68.26000214,28.26000023,1,2.650000095,96.97000122,46738.12,14.57999992,4.519999981,10.71000004,340,2507,48600,48.6,41500,Louisiana Tech University,Ruston,LA,71272,32.525518,-92.64964,0.6384,0.638444653,1105,0.0395,0.0186,0.0225,0,0.0109,0,0.0147,0,0.0581,0.1287,0.0287,0.0023,0.0333,0,0.0124,0.0946,0,0.0636,0.0124,0,0,0.0426,0,0,0.0116,0,0.0434,0,0,0.038,0,0,0,0.0287,0.0318,0.0907,0.1636,0.0093
1445,159656,Loyola University New Orleans,0.129999995,71.93000031,19.20999908,3.390000105,10.22999954,88.87000275,67759.61,9.220000267,3.420000076,11.05000019,133,1016,50600,50.6,33400,Loyola University New Orleans,New Orleans,LA,70118-6143,29.936141,-90.120417,0.9031,0.903091061,1134,0,0.0213,0,0.0049,0.082,0,0,0,0.018,0,0,0.0115,0,0,0.082,0.0066,0,0.0443,0.0098,0,0,0,0.018,0,0.0131,0,0.1311,0.0033,0,0.1475,0,0,0,0,0.1607,0.0098,0.1951,0.041
1446,159717,McNeese State University,0.200000003,73.63999939,23.05999947,0.839999974,2.359999895,97.41999817,47295.56,14.47999954,4.150000095,10.72999954,350,2178,44000,44,39100,McNeese State University,Lake Charles,LA,70605,30.180762,-93.215648,0.8205,0.820453031,1029,0.0313,0.0051,0,0,0.033,0,0.0127,0,0.055,0.0567,0.0195,0.0068,0,0.0034,0.0144,0.1777,0,0.0313,0.0144,0,0.0042,0.0499,0,0,0.0076,0,0.0271,0.0474,0,0.0541,0,0,0,0,0.0296,0.1777,0.1294,0.0118
1447,159939,University of New Orleans,0.239999995,59.83000183,34.00999832,2.519999981,5.28000021,93.52999878,51940.24,14,4.050000191,10.81999969,566,3603,42700,42.7,32400,University of New Orleans,New Orleans,LA,70148,30.028539,-90.068506,0.5766,0.576551373,1034,0,0,0,0,0,0,0.0176,0,0.0385,0.0865,0,0.0048,0,0,0.0329,0.0008,0,0.1018,0.0072,0,0.0962,0.0088,0.0072,0,0.0337,0,0.0681,0,0,0.0457,0,0,0,0,0.1202,0,0.3133,0.0168
1448,159966,Nicholls State University,0.189999998,68.44999695,26.37000084,1.24000001,2.609999895,96.94000244,49304.74,15.11999989,3.940000057,10.77999973,284,1982,42600,42.6,35000,Nicholls State University,Thibodaux,LA,70310,29.792689,-90.802906,0.902,0.902042518,1030,0,0,0,0,0.0223,0,0,0.0651,0.0591,0,0.1328,0,0.0317,0,0.0197,0.0591,0,0.0343,0.006,0,0.1174,0,0,0,0.0043,0,0.042,0,0,0.018,0,0,0,0,0.0343,0.1448,0.1868,0.0223
1449,159993,University of Louisiana at Monroe,0.230000004,64.48999786,32.84000015,0.819999993,1.879999995,97.90000153,43063.22,17.06999969,4.789999962,10.63000011,367,2529,45800,45.8,41300,University of Louisiana at Monroe,Monroe,LA,71209-0000,32.527957,-92.073855,0.8765,0.876499854,1054,0.0085,0,0,0,0.0237,0,0.0114,0,0.0559,0,0,0.0076,0,0,0.0152,0.108,0,0.0606,0.0057,0,0,0.053,0,0,0.0038,0,0.0777,0.0455,0.0066,0.0322,0,0,0,0.0076,0.0218,0.3172,0.1231,0.0152
1452,160038,Northwestern State University of Louisiana,0.270000011,65.01000214,30.46999931,0.939999998,2.960000038,96.69000244,43125.41,16.52000046,4.420000076,10.64000034,618,3452,38100,38.1,28700,Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,31.750675,-93.097715,0.8397,0.839678118,1008,0,0,0,0,0.0195,0,0.0105,0,0.0345,0,0.0173,0,0.042,0,0.0038,0.2063,0,0.0488,0.0068,0,0.0008,0.0195,0,0,0.0008,0,0.0788,0.0488,0.0195,0,0,0,0,0,0.0248,0.2971,0.0975,0.0233
1454,160074,Our Lady of the Lake College,0.519999981,69.26000214,27.5,1.309999943,2.130000114,96.76999664,54007.12,12.52000046,3.75999999,10.85000038,112,823,47200,47.2,26400,Our Lady of the Lake College,Baton Rouge,LA,70808,30.40019,-91.110471,0.5272,0.52715655,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0
1467,160612,Southeastern Louisiana University,0.159999996,72.19000244,24.63999939,1.019999981,2.599999905,96.94999695,53084.32,12.90999985,3.720000029,10.84000015,630,4115,41100,41.1,29600,Southeastern Louisiana University,Hammond,LA,70402,30.51358,-90.468558,0.8795,0.87950511,1030,0,0,0,0,0.0247,0,0.019,0,0.1151,0,0.0529,0.0026,0.019,0,0.0195,0.1182,0,0.0478,0.0072,0,0,0.0103,0,0,0.0057,0,0.0534,0.0457,0.0272,0.017,0,0,0,0,0.0411,0.13,0.2271,0.0164
